Volcano,Event,Color,Simbología
Aguilera,A1,lightcoral,3
Aguilera,Unknown,lightcoral,.
Antillanca-Casablanca,Rayhuen,#fe4b03,4
Antillanca-Casablanca,Playas Blanca-Negra,#fe4b03,5
Antillanca-Casablanca,Nahuel Huapi,#fe4b03,6
Antillanca-Casablanca,Unknown,#fe4b03,.
Apagado,Ap1,lightskyblue,4
Apagado,Unknown,lightskyblue,.
Arenales,Unknown,palegreen,.
Monte Burney,Unknown,rosybrown,.
Monte Burney,MB1910,rosybrown,4
Monte Burney,MB1,rosybrown,5
Monte Burney,MB2,rosybrown,6
Caburga-Huelemolle,Caburga-Huelemolle,rebeccapurple,3
Caburga-Huelemolle,Unknown,rebeccapurple,.
Calbuco,Calbuco 1792,green,","
Calbuco,Calbuco 1893,green,1'
Calbuco,Calbuco 2015,green,2'
Calbuco,Calbuco 1961,green,3'
Calbuco,Calbuco 1971?,green,4'
Calbuco,Calbuco 1929,green,+'
Calbuco,Ca1,green,X'
Calbuco,Ca3,green,|'
Calbuco,Ca4,green,_'
Calbuco,Ca5,green,0
Calbuco,Ca7,green,1
Calbuco,Ca8,green,2
Calbuco,Ca10,green,3
Calbuco,Ca11,green,4
Calbuco,Alerce Ignimbrite,green,5
Calbuco,Ca13,green,6
Calbuco,Ca12,green,7
Calbuco,Unknown,green,.
Carrán-Los Venados,Carrán1955,indigo,4
Carrán-Los Venados,Riñinahue1907,indigo,5
Carrán-Los Venados,Unknown,indigo,.
Cay,Unknown,#0a5f38,.
Chaitén,Cha1,teal,1'
Chaitén,Cha2,teal,2'
Chaitén,Cha3,teal,3'
Chaitén,Cha4,teal,4'
Chaitén,Grande,teal,+'
Chaitén,Puma Verde,teal,X'
Chaitén,Pumalín,teal,|'
Chaitén,Vcha-2008,teal,_'
Chaitén,Vilcún,teal,0
Chaitén,Unknown,teal,.
Corcovado,COR3,#fa2a55,4
Corcovado,COR2,#fa2a55,5
Corcovado,Unknown,#fa2a55,.
Cordón Cabrera,Unknown,#c69c04,.
Fueguino,Unknown,deepskyblue,.
Hornopirén,Ho1,darkblue,4
Hornopirén,HoSc,darkblue,5
Hornopirén,Unknown,darkblue,.
Huanquihue Group,Achen,deeppink,4
Huanquihue Group,HUA1,deeppink,5
Huanquihue Group,Unknown,deeppink,.
Hudson,Ho,#ad03de,4
Hudson,HW1,#ad03de,5
Hudson,HW2,#ad03de,6
Hudson,HW3,#ad03de,7
Hudson,H1,#ad03de,8
Hudson,H2,#ad03de,9
Hudson,HW6,#ad03de,10
Hudson,HW7,#ad03de,11
Hudson,Hudson1991,#ad03de,0
Hudson,Hudson1971,#ad03de,1
Hudson,Unknown,#ad03de,.
Huequi,T1,slateblue,4
Huequi,T2,slateblue,5
Huequi,T2,slateblue,6
Huequi,Unknown,slateblue,.
Lanín,Lan2,#feb209,4
Lanín,Lan1,#feb209,5
Lanín,Unknown,#feb209,.
Lautaro,Unknown,Chocolate,.
Lautaro,Lautaro1933,Chocolate,4
Lautaro,Lautaro1876/78-79,Chocolate,5
Lautaro,Lautaaro1876/78-79,Chocolate,6
Lautaro,Lautaro1959-60,Chocolate,7
Llaima,2008 Llaima,orange,3'
Llaima,1994 Llaima,orange,4'
