MeasurementRun,Coments,BeamSize,AcceleratingVoltage,BeamCurrent,StandardID,n,SiO2,SD_SiO2,RSD_SiO2,TiO2,SD_TiO2,RSD_TiO2,Al2O3,SD_Al2O3,RSD_Al2O3,Fe2O3T,SD_Fe2O3T,FeOT,SD_FeOT,RSD_FeOT,MnO,SD_MnO,RSD_MnO,MgO,SD_MgO,RSD_MgO,CaO,SD_CaO,RSD_CaO,Na2O,SD_Na2O,RSD_Na2O,K2O,SD_K2O,RSD_K2O,P2O5,SD_P2O5,RSD_P2O5,Cl,SD_Cl,RSD_Cl,Total,SD1_Total,Rb,SD_Rb,RSD_Rb,Sr,SD_Sr,RSD_Sr,Y,SD_Y,RSD_Y,Zr,SD_Zr,RSD_Zr,Nb,SD_Nb,RSD_Nb,Cs,SD_Cs,RSD_Cs,Ba,SD_Ba,RSD_Ba,La,SD_La,RSD_La,Ce,SD_Ce,RSD_Ce,Pr,SD_Pr,RSD_Pr,Nd,SD_Nd,RSD_Nd,Sm,SD_Sm,RSD_Sm,Eu,SD_Eu,RSD_Eu,Gd,SD_Gd,RSD_Gd,Tb,SD_Tb,RSD_Tb,Dy,SD_Dy,RSD_Dy,Ho,SD_Ho,RSD_Ho,Er,SD_Er,RSD_Er,Tm,SD_Tm,RSD_Tm,Yb,SD_Yb,RSD_Yb,Lu,SD_Lu,RSD_Lu,Hf,SD_Hf,RSD_Hf,Ta,SD_Ta,RSD_Ta,Pb,SD_Pb,RSD_Pb,Th,SD_Th,RSD_Th,U,SD_U,RSD_U
11112,,10,15,6,ATHO-G,4,75.7534,0.42429769,0.56,0.248075,0.03633349,14.65,12.1717,0.0133109,0.11,,,3.2018,0.18480702,5.77,0.120025,0.04782129,39.84,0.09415,0.01137761,12.08,1.635525,0.04090977,2.5,4.2467,0.02603242,0.61,2.7634,0.07822029,2.83,0.012425,0.00290904,23.41,,,,100.2472,0.62526968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11112,,10,15,6,GOR132-G,4,45.280675,0.29476488,0.65,0.295375,0.02008804,6.8,10.849,0.08593684,0.79,,,10.284275,0.1608244,1.56,0.116625,0.05255266,45.06,22.43415,0.1042414,0.46,8.433925,0.11690276,1.39,0.842075,0.03342209,3.97,0.029925,0.01160557,38.78,0.039075,0.0254555,65.15,,,,98.6051,0.29104365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11112,,10,15,6,KL2-G,4,50.357925,0.46492866,0.92,2.66825,0.05638874,2.11,13.325125,0.03848137,0.29,,,10.89175,0.28652769,2.63,0.2069,0.06145421,29.7,7.3222,0.12406775,1.69,11.00565,0.07306483,0.66,2.262275,0.09737571,4.3,0.491075,0.02483766,5.06,0.247425,0.01471878,5.95,,,,98.778575,0.62711545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11112,,10,15,6,StHs6/80-G,4,63.901475,0.3291264,0.52,0.704775,0.07144837,10.14,17.613025,0.17530068,1,,,4.2639,0.06681981,1.57,0.069725,0.03903087,55.98,1.9483,0.02865903,1.47,5.275175,0.11681944,2.21,4.165075,0.63238852,15.18,1.306875,0.02795441,2.14,0.17215,0.03346067,19.44,,,,99.420475,0.31770104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11112,,10,15,6,T1-G,4,58.18595,0.65388293,1.12,0.733025,0.03880235,5.29,17.1713,0.11494773,0.67,,,6.376575,0.07603286,1.19,0.146575,0.04409364,30.08,3.756825,0.06066978,1.61,7.13925,0.1161436,1.63,3.107425,0.04528586,1.46,2.014,0.04986468,2.48,0.200325,0.00668799,3.34,,,,98.83125,0.80925451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21112,,10,15,6,ATHO-G,13,75.52461538,0.66728873,0.88,0.23826923,0.02167469,9.1,12.22366923,0.15541588,1.27,,,3.34220769,0.09672708,2.89,0.09156154,0.0398371,43.51,0.09444615,0.02156261,22.83,1.64272308,0.04276132,2.6,4.31105385,0.17183587,3.99,2.74936154,0.05860749,2.13,0.02422308,0.01001442,41.34,,,,100.2421308,0.63853316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21112,,10,15,6,GOR132-G,12,46.3178,0.35511718,0.77,0.30475833,0.02635911,8.65,10.92758333,0.1245432,1.14,,,10.22699167,0.19821751,1.94,0.15901667,0.03915215,24.62,22.15708333,0.12131129,0.55,8.43083333,0.08620629,1.02,0.79578333,0.07194039,9.04,0.03044167,0.01285722,42.24,0.025075,0.02739854,109.27,,,,99.37536667,0.43678621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21112,,10,15,6,KL2-G,12,51.18634167,0.26836174,0.52,2.61223333,0.05051211,1.93,13.27954167,0.14983548,1.13,,,10.91995833,0.2480497,2.27,0.16754167,0.05217358,31.14,7.33570833,0.103236,1.41,10.96285833,0.07382342,0.67,2.25309167,0.10095749,4.48,0.49220833,0.02038607,4.14,0.29418333,0.0237234,8.06,,,,99.50366667,0.33749313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21112,,10,15,6,StHs6/80-G,13,64.13736923,0.40292453,0.63,0.71863846,0.04429711,6.16,17.68068462,0.20187989,1.14,,,4.39223077,0.15363215,3.5,0.07856154,0.04752485,60.49,1.96383077,0.03099606,1.58,5.29433077,0.07396627,1.4,4.69537692,0.11887298,2.53,1.30090769,0.03316561,2.55,0.16697692,0.02564518,15.36,,,,100.4289077,0.40858706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21112,,10,15,6,T1-G,12,57.73158333,0.46271193,0.8,0.7697,0.03832464,4.98,17.80163333,0.26791084,1.5,,,6.79979167,0.15972156,2.35,0.12744167,0.046071,36.15,3.93001667,0.06845748,1.74,7.44715833,0.08093161,1.09,3.11955,0.08661897,2.78,1.91474167,0.04370087,2.28,0.21585,0.02854612,13.22,,,,99.85746667,0.32433036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
